Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation
DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating fepA-entD	612522	Regulation of fepA-entD by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
RhaS-rhamnose DNA-binding-site 40 bases upstream of rhaSp2	4097671	Regulation of rhaSp2 by RhaS-L-rhamnose DNA-binding transcriptional activator // Regulation of rhaSp by RhaS-L-rhamnose DNA-binding transcriptional activator
BolA-phosphate DNA-binding-site 191.5 bases upstream of mreBp1	3401320.5	Regulation of mreBp1 by DNA binding transcriptional dual regulator BolA-phosphorylated
NadR DNA-binding-site 57.5 bases upstream of nadAp	782003.5	Regulation of nadAp by DNA-binding transcriptional repressor/NMN adenylyltransferase NadR
OxyR DNA-binding-site 42 bases upstream of metEp	4012842	Regulation of metEp by DNA-binding transcriptional dual regulator OxyR
Cra DNA-binding-site 33.5 bases upstream of enop3	2908879.5	Regulation of enop3 by DNA-binding transcriptional dual regulator Cra // Regulation of enop2 by DNA-binding transcriptional dual regulator Cra // Regulation of enop1 by DNA-binding transcriptional dual regulator Cra
Fnr DNA-binding-site 90.5 bases upstream of feoAp	3539966.5	Regulation of feoAp by DNA-binding transcriptional dual regulator FNR
Fnr DNA-binding-site regulating yecRp		Regulation of yecRp by DNA-binding transcriptional dual regulator FNR
ArgR-arg DNA-binding-site 27.5 bases upstream of artJp	900653.5	Regulation of artJp by ArgR-L-arginine DNA-binding transcriptional dual regulator
CpxR-phosphorylated DNA-binding-site 255 bases upstream of csgBp2	1103604	Regulation of csgBp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of csgBp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
NrdR transcriptional repressor DNA-binding-site 14.5 bases upstream of nrdHp	2800641.5	Regulation of nrdHp by NrdR-Zn2+ DNA-binding transcriptional repressor
DnaA-ATP DNA-binding-site 7.5 bases upstream of aldAp	1488182.5d0	Regulation of aldAp by DnaA-ATP
FeaR DNA-binding-site 64 bases upstream of tynAp	1451473	Regulation of tynAp by DNA-binding transcriptional activator FeaR
SoxS DNA-binding-site regulating yhbW	3303382	Regulation of yhbW by DNA-binding transcriptional dual regulator SoxS
DNA-binding transcriptional dual regulator Fur DNA-binding-site 71.5 bases upstream of mntPp	1905387.5	Regulation of mntPp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
Lrp DNA-binding-site 62 bases upstream of osmCp2	1556544	Regulation of osmCp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of osmCp1 by DNA-binding transcriptional dual regulator Lrp
DNA-binding transcriptional dual regulator Fur DNA-binding-site 26 bases downstream of tonBp	1311079	Regulation of tonBp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 77.5 bases upstream of furpa	710793.5d0	Regulation of furpa by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of furpb by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating dsdAp		Regulation of dsdAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
SoxS DNA-binding-site 26 bases upstream of nfop	2250780	Regulation of nfop by DNA-binding transcriptional dual regulator SoxS
GadX DNA-binding-site 68.5 bases upstream of gadWp2	3664849.5	Regulation of gadWp2 by DNA-binding transcriptional dual regulator GadX
ZntR DNA-binding-site 24.5 bases upstream of zntAp	3606397.5	Regulation of zntAp by ZntR-Zn2+ DNA-binding transcriptional activator // Regulation of zntAp by ZntR-Zn2+ DNA-binding transcriptional activator
EvgA-Pasp DNA-binding-site 75.5 bases upstream of frcp	2493514.5	Regulation of frcp by DNA-binding transcriptional activator EvgA-phosphorylated
LeuO DNA-binding-site 80 bases upstream of casAp	2884399	Regulation of casAp by DNA-binding transcriptional dual regulator LeuO
PhoP-Pasp51 DNA-binding-site regulating queE		Regulation of queE by DNA-binding transcriptional dual regulator PhoP-phosphorylated
LldR DNA-binding-site 30 bases downstream of lldPp	3777318	Regulation of lldPp by DNA-binding transcriptional dual regulator LldR
IHF DNA-binding-site 8 bases downstream of ompRp1	3536700	Regulation of ompRp1 by DNA-binding transcriptional dual regulator IHF
Lrp DNA-binding-site 56 bases upstream of lrpp	932272	Regulation of lrpp by DNA-binding transcriptional dual regulator Lrp
H-NS DNA-binding-site regulating ilvIHp1		Regulation of ilvIHp1 by DNA-binding transcriptional dual regulator H-NS
Lrp-leu DNA-binding-site 108 bases upstream of gltBp2	3354401	Regulation of gltBp2 by DNA-binding transcriptional dual regulator Lrp-L-leucine // Regulation of gltBp by DNA-binding transcriptional dual regulator Lrp-L-leucine
CpxR-phosphorylated DNA-binding-site 68.5 bases upstream of ompFp2	987160.5	Regulation of ompFp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of ompFp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
MarA DNA-binding-site 65 bases upstream of decRp	468287	Regulation of decRp by DNA-binding transcriptional dual regulator MarA
Rob DNA-binding-site 40.5 bases upstream of ybjCp	890851.5	Regulation of ybjCp by DNA-binding transcriptional dual regulator Rob
Nac DNA-binding-site regulating ispB	3333507	Regulation of rplU by DNA-binding transcriptional dual regulator Nac // Regulation of ispB by DNA-binding transcriptional dual regulator Nac
Lrp DNA-binding-site 1818 bases upstream of oppAp	1299267	Regulation of oppAp by DNA-binding transcriptional dual regulator Lrp
SlyA DNA-binding-site 61.5 bases downstream of hlyEp	1230405.5	Regulation of hlyEp by DNA-binding transcriptional dual regulator SlyA
Nac DNA-binding-site regulating greB	3536761	Regulation of ompR by DNA-binding transcriptional dual regulator Nac // Regulation of greB by DNA-binding transcriptional dual regulator Nac
GalR-galactose DNA-binding-site 107.5 bases upstream of galPp	3088147.5	Regulation of galPp by GalR-D-galactose
IHF DNA-binding-site 98.5 bases upstream of dpsp2	849048.5	Regulation of dpsp2 by DNA-binding transcriptional dual regulator IHF // Regulation of dpsp by DNA-binding transcriptional dual regulator IHF
Nac DNA-binding-site regulating yijO	4148602	Regulation of yijO by DNA-binding transcriptional dual regulator Nac
DpiA-Pasp DNA-binding-site regulating appYp1		Regulation of appYp1 by DNA-binding transcriptional dual regulator DpiA-phosphorylated
DpiA-Pasp DNA-binding-site 104 bases downstream of dpiBp1	652087	Regulation of dpiBp1 by DNA-binding transcriptional dual regulator DpiA-phosphorylated // Regulation of citCp1 by DNA-binding transcriptional dual regulator DpiA-phosphorylated // Regulation of citCp2 by DNA-binding transcriptional dual regulator DpiA-phosphorylated
H-NS DNA-binding-site 6 bases downstream of lacZp1	366338	Regulation of lacZp1 by DNA-binding transcriptional dual regulator H-NS
UxuR DNA-binding-site 24.5 bases upstream of gntPp	4551358.5d0	Regulation of gntPp by DNA-binding transcriptional repressor UxuR // Regulation of uxuAp by DNA-binding transcriptional repressor UxuR
GalS DNA-binding-site 61.5 bases upstream of galPp	3088193.5	Regulation of galPp by DNA-binding transcriptional dual regulator GalS
CsqR DNA-binding-site regulating csqRp		Regulation of csqRp by DNA-binding transcriptional dual regulator CsqR
Lrp-leu DNA-binding-site 116 bases upstream of hdeAp2	3656907	Regulation of hdeAp2 by DNA-binding transcriptional dual regulator Lrp-L-leucine // Regulation of hdeAp by DNA-binding transcriptional dual regulator Lrp-L-leucine
UxuR DNA-binding-site 193.5 bases upstream of exuRp2	3246424.5	Regulation of exuRp2 by DNA-binding transcriptional repressor UxuR
CpxR-phosphorylated DNA-binding-site 98 bases upstream of acrDp2	2587452	Regulation of acrDp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
Fis DNA-binding-site 149 bases upstream of trgp	1492290	Regulation of trgp by DNA-binding transcriptional dual regulator Fis
PutA DNA-binding-site 14.5 bases downstream of putAp	1078911.5	Regulation of putAp by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA
OxyR DNA-binding-site 57 bases upstream of trxCp	2718618	Regulation of trxCp by DNA-binding transcriptional dual regulator OxyR
IHF DNA-binding-site 176 bases upstream of ompFp2	987268	Regulation of ompFp2 by DNA-binding transcriptional dual regulator IHF // Regulation of ompFp by DNA-binding transcriptional dual regulator IHF
RutR DNA-binding-site 184 bases upstream of carAp1	29367	Regulation of carAp1 by DNA-binding transcriptional dual regulator RutR
AcrR DNA-binding-site 22.5 bases downstream of acrRp	485720.5	Regulation of acrRp by DNA-binding transcriptional repressor AcrR // Regulation of acrAp by DNA-binding transcriptional repressor AcrR
TrpR-trp DNA-binding-site 11.5 bases upstream of mtrp2	3305871.5	Regulation of mtrp2 by DNA-binding transcriptional repressor TrpR-L-tryptophan
Nac DNA-binding-site regulating tdcR	3267270	Regulation of tdcA by DNA-binding transcriptional dual regulator Nac // Regulation of tdcR by DNA-binding transcriptional dual regulator Nac
IHF DNA-binding-site 89 bases upstream of gltBp2	3354420	Regulation of gltBp2 by DNA-binding transcriptional dual regulator IHF // Regulation of gltBp by DNA-binding transcriptional dual regulator IHF
Fis DNA-binding-site 60 bases upstream of serTp	1031779	Regulation of serTp by DNA-binding transcriptional dual regulator Fis
NsrR DNA-binding-site 63 bases upstream of nrfAp	4287608	Regulation of nrfAp by DNA-binding transcriptional dual regulator NsrR
Nac DNA-binding-site regulating yebQ	1910270	Regulation of yebQ by DNA-binding transcriptional dual regulator Nac // Regulation of kdgR by DNA-binding transcriptional dual regulator Nac
DNA-binding transcriptional dual regulator CysB DNA-binding-site 202 bases upstream of tauAp	385003	Regulation of tauAp by CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator
NarL-Pasp59 DNA-binding-site 50 bases upstream of nrfAp	4287621	Regulation of nrfAp by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of nrfAp by DNA-binding transcriptional dual regulator NarL-phosphorylated
PuuR DNA-binding-site 11.5 bases downstream of puuAp	1360957.5	Regulation of puuAp by DNA-binding transcriptional repressor PuuR // Regulation of puuDp by DNA-binding transcriptional repressor PuuR
DNA-binding transcriptional dual regulator Fur DNA-binding-site 17 bases upstream of feoAp	3540040	Regulation of feoAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
NsrR DNA-binding-site 118 bases upstream of ygbAp	2856946	Regulation of ygbAp by DNA-binding transcriptional dual regulator NsrR
SlyA DNA-binding-site regulating mdtM-yjiN	4568768.5	Regulation of mdtM-yjiN by DNA-binding transcriptional dual regulator SlyA
Fis DNA-binding-site 68 bases upstream of topAp4	1330750	Regulation of topAp4 by DNA-binding transcriptional dual regulator Fis // Regulation of topAp1 by DNA-binding transcriptional dual regulator Fis
GadX DNA-binding-site 231.5 bases upstream of gadBp2	1572303.5	Regulation of gadBp2 by DNA-binding transcriptional dual regulator GadX // Regulation of gadBp by DNA-binding transcriptional dual regulator GadX
LsrR DNA-binding-site 11.5 bases downstream of lsrAp	1601470.5	Regulation of lsrAp by DNA-binding transcriptional repressor LsrR
FrmR DNA-binding-site regulating frmRAB	379932	Regulation of frmRAB by DNA-binding transcriptional repressor FrmR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 105.5 bases upstream of uxaCp2	3244962.5	Regulation of uxaCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of exuTp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating rihA	684445.5	Regulation of rihA by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GntR DNA-binding-site 78.5 bases upstream of idnDp	4494513.5	Regulation of idnDp by DNA-binding transcriptional repressor GntR // Regulation of idnKp by DNA-binding transcriptional repressor GntR
IHF DNA-binding-site 16.5 bases downstream of pstSp2	3911552.5d0	Regulation of pstSp2 by DNA-binding transcriptional dual regulator IHF // Regulation of pstSp by DNA-binding transcriptional dual regulator IHF
Fis DNA-binding-site 129 bases upstream of topAp1	1330851	Regulation of topAp1 by DNA-binding transcriptional dual regulator Fis
Fnr DNA-binding-site 55.5 bases upstream of caiFp	34162.5d0	Regulation of caiFp by DNA-binding transcriptional dual regulator FNR
MetJ-SAM DNA-binding-site 27.5 bases downstream of ahpCp1	638947.5d0	Regulation of ahpCp1 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
LacI DNA-binding-site 412 bases downstream of lacZp1	365932	Regulation of lacZp1 by DNA-binding transcriptional repressor LacI
Lrp DNA-binding-site 204 bases downstream of fimAp	4542897	Regulation of fimAp by DNA-binding transcriptional dual regulator Lrp
NorR DNA-binding-site 1 bases downstream of norRp	2832307	Regulation of norRp by DNA-binding transcriptional dual regulator NorR // Regulation of norVp by DNA-binding transcriptional dual regulator NorR
Fis DNA-binding-site 98 bases upstream of tyrTp	1287763	Regulation of tyrTp by DNA-binding transcriptional dual regulator Fis
ArcA-Pasp54 DNA-binding-site 90.5 bases upstream of ssbp1	4274001.5	Regulation of ssbp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of ssbp2 by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of uvrAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of ssbp3 by DNA-binding transcriptional dual regulator ArcA-phosphorylated
H-NS DNA-binding-site regulating appYp1		Regulation of appYp1 by DNA-binding transcriptional dual regulator H-NS
MraZ DNA-binding-site 8 bases downstream of mraZp	89603	Regulation of mraZp by DNA-binding transcriptional repressor MraZ
MetJ-SAM DNA-binding-site 17.5 bases downstream of metFp	4132562.5	Regulation of metFp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 12.5 bases downstream of osmYp2	4611164.5	Regulation of osmYp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of osmYp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
H-NS DNA-binding-site regulating adiAp		Regulation of adiAp by DNA-binding transcriptional dual regulator H-NS
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 89.5 bases upstream of nupCp	2512919.5d0	Regulation of nupCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
MalI DNA-binding-site 10.5 bases downstream of malIp	1699218.5	Regulation of malIp by DNA-binding transcriptional repressor MalI
Cra DNA-binding-site 4.5 bases upstream of glcCp	3128201.5	Regulation of glcCp by DNA-binding transcriptional dual regulator Cra
YgfI DNA-binding-site regulating yfdPQ (BS0-10663)	2473481	Regulation of yfdPQ by DNA-binding transcriptional activator YgfI // Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI
YjjQ DNA-binding-site 16 bases upstream of gfcAp	1050718	Regulation of gfcAp by DNA-binding transcriptional repressor YjjQ
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating aegA		Regulation of aegA by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Lrp DNA-binding-site regulating serAp1		Regulation of serAp1 by DNA-binding transcriptional dual regulator Lrp
NimR DNA-binding-site 17 bases downstream of nimRp	1875584	Regulation of nimRp by DNA-binding transcriptional repressor NimR // Regulation of nimTp by DNA-binding transcriptional repressor NimR
